                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2382,                 3.1532,                 1.3876,                0.00383,                0.87515,                0.42982,                0.31613,                0.93283,                 3.0563,                 1.1669,              0.0004638,              0.0004638,              0.0004638
                      2,                 1.1529,                 2.2271,                 1.2675,                0.47398,                0.35077,                0.45158,                0.29837,                 1.1647,                 2.6552,                 1.4498,             0.00093082,             0.00093082,             0.00093082
                      3,                 1.0875,                  1.918,                 1.2512,                0.55508,                0.47759,                0.50235,                0.37491,                 1.2465,                 2.5915,                 1.4139,              0.0013884,              0.0013884,              0.0013884
                      4,                  1.075,                 1.7304,                 1.2287,                 0.5447,                0.51923,                0.49011,                0.29529,                 1.3179,                 2.5704,                 1.3997,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.0614,                 1.5507,                  1.199,                0.49492,                0.49386,                0.54297,                0.37916,                 1.1436,                 2.4842,                 1.3133,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.0421,                 1.4485,                 1.1813,                0.48365,                0.39228,                0.47977,                0.37088,                 1.1119,                 2.5274,                  1.315,              0.0013583,              0.0013583,              0.0013583
                      7,                0.99831,                 1.3317,                 1.1449,                0.87539,                0.52877,                0.63406,                 0.4356,                 1.3132,                  1.852,                 1.5051,              0.0013441,              0.0013441,              0.0013441
                      8,                0.98437,                  1.251,                 1.1513,                0.65684,                0.57978,                0.69307,                0.49876,                 1.1567,                  1.422,                 1.3496,                0.00133,                0.00133,                0.00133
                      9,                0.96048,                 1.1454,                 1.1385,                0.69292,                0.74264,                0.74838,                0.52747,                 1.1217,                 1.3835,                 1.3933,              0.0013158,              0.0013158,              0.0013158
                     10,                0.96136,                 1.0904,                 1.1371,                0.81632,                0.76992,                0.79592,                 0.5777,                 1.0003,                 1.1457,                 1.2491,              0.0013017,              0.0013017,              0.0013017
                     11,                0.94958,                 1.0195,                 1.1282,                0.88296,                0.71189,                0.82082,                0.60273,                 1.0039,                 1.0835,                 1.2273,              0.0012875,              0.0012875,              0.0012875
                     12,                0.92361,                0.98998,                 1.1102,                0.94339,                  0.768,                0.87171,                0.63455,                0.96746,                0.88571,                 1.2051,              0.0012734,              0.0012734,              0.0012734
                     13,                0.91797,                0.94159,                 1.1084,                 0.6873,                0.61697,                0.71296,                0.50632,                 1.0834,                 1.3254,                 1.3143,              0.0012592,              0.0012592,              0.0012592
                     14,                0.90165,                0.91732,                 1.1049,                0.78092,                0.76753,                0.84636,                0.67507,                0.87684,                0.91225,                 1.1407,              0.0012451,              0.0012451,              0.0012451
                     15,                0.86022,                0.84083,                 1.0864,                0.89501,                0.84568,                0.87065,                0.65877,                0.93237,                0.82525,                 1.1787,              0.0012309,              0.0012309,              0.0012309
                     16,                0.85025,                0.84341,                  1.074,                0.90441,                0.83444,                0.86692,                0.66576,                0.89921,                0.89275,                  1.176,              0.0012168,              0.0012168,              0.0012168
                     17,                0.84702,                0.80555,                 1.0766,                0.74331,                0.84621,                0.87046,                0.64615,                0.98243,                0.88252,                 1.1523,              0.0012026,              0.0012026,              0.0012026
                     18,                0.83549,                0.78136,                  1.078,                0.87379,                0.85403,                0.90356,                0.66326,                0.96824,                0.81209,                 1.1564,              0.0011885,              0.0011885,              0.0011885
                     19,                0.83812,                0.76913,                 1.0706,                0.92378,                0.68441,                0.84397,                0.61736,                 1.0425,                0.90348,                 1.2593,              0.0011744,              0.0011744,              0.0011744
                     20,                0.82565,                 0.7695,                 1.0715,                0.88425,                0.86465,                0.86111,                  0.681,                0.85414,                0.75708,                 1.1111,              0.0011602,              0.0011602,              0.0011602
                     21,                0.81109,                0.73831,                 1.0505,                 0.9252,                0.85936,                 0.8841,                0.69056,                0.90232,                0.73468,                 1.1184,              0.0011461,              0.0011461,              0.0011461
                     22,                0.82147,                0.73808,                 1.0709,                0.89133,                0.74659,                0.85183,                0.66075,                0.89137,                0.81975,                 1.1145,              0.0011319,              0.0011319,              0.0011319
                     23,                0.82651,                0.72099,                  1.062,                0.92815,                0.77435,                0.89543,                0.71678,                0.88443,                 0.7623,                 1.0958,              0.0011178,              0.0011178,              0.0011178
                     24,                0.80106,                0.71142,                 1.0585,                0.90447,                0.77599,                0.87351,                0.66086,                0.96947,                0.88897,                 1.1494,              0.0011036,              0.0011036,              0.0011036
                     25,                0.76687,                0.66437,                 1.0285,                0.92521,                0.91023,                0.91242,                 0.7381,                0.80945,                0.67688,                 1.1123,              0.0010895,              0.0010895,              0.0010895
                     26,                0.77808,                0.66978,                 1.0551,                0.80422,                0.80205,                0.81368,                0.57813,                 1.1378,                 1.1583,                 1.3866,              0.0010753,              0.0010753,              0.0010753
                     27,                0.76796,                 0.6569,                 1.0369,                0.91799,                 0.8038,                0.88246,                0.68475,                0.89486,                0.74784,                  1.144,              0.0010612,              0.0010612,              0.0010612
                     28,                0.77831,                0.65593,                 1.0392,                0.80245,                0.81023,                0.86792,                  0.705,                0.86947,                0.91088,                  1.113,               0.001047,               0.001047,               0.001047
